txhash,website,chain
0xdac6af5695ba00b3d229574dbf7fcc326d16b9f8a52ad2620637d3022956d157,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xe2301118a4ad24b944a6190b24fac26ed5a340a4a7f52788484dcce0d6f9585e,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xe4bf6f1c964a89d48af60216ce110f4bf54fcbada20b7cefaf6bea55c9f4d542,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xe63c77d4a205e1036a230b483753876a93915706af24264e64e470919339ab98,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xe80a16678b5008d5be1484ec6e9e77dc6307632030553405863ffb38c1f94266,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xe80a16678b5008d5be1484ec6e9e77dc6307632030553405863ffb38c1f94266,https://x.com/MetaTrustAlert/status/1765198524189466980,arbitrum
0xf23c38b79806433fdd85c9b2aa70971d97d284e8ec155e0cd4141d2957911ea7,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xf57f041cb6d8a10e11edab50b84e49b59ff834c7d114d1e049cedd654c36194d,https://x.com/ChainAegis/status/1796484288957043100,arbitrum
0xf71e6e5164f8fb866873eb2ac6a600a5148c374d92b89ecbb37ce540a86a4550,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xf99d4164aa91d94b8b2237a4fbe789c0d117460dcbe2242e832f95447166892b,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a,https://arbiscan.io/tx/0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a,arbitrum
0xfaf84cabc3e1b0cf1ff1738dace1b2810f42d98baeea17b146ae032f0bdf82d5,https://arbiscan.io/tx/0xfaf84cabc3e1b0cf1ff1738dace1b2810f42d98baeea17b146ae032f0bdf82d5,arbitrum
0xfb044b7d892b812b430decba322922d17c3f902db6040d872d0f845e6eae7ce1,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e,https://arbiscan.io/tx/0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e,arbitrum
0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,https://x.com/BeosinAlert/status/1673930979348717570,arbitrum
0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,https://x.com/BlockSecTeam/status/1673897088617426946,arbitrum
0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,https://x.com/ImmuneBytes/status/1674017870219452421,arbitrum
0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,https://x.com/MetaTrustAlert/status/1673874266453061635,arbitrum
0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,https://arbiscan.io/tx/0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,arbitrum
0xff88d10bc452c3dcf04e4ea42c585b86ac521728a40d70ec97e846ed0f0d1597,https://app.blocksec.com/explorer/security-incidents,arbitrum
0x0ab12913f9232b27b0664cd2d50e482ad6aa896aeb811b53081712f42d54c026,https://dashboard.tenderly.co/tx/ava/0x0ab12913f9232b27b0664cd2d50e482ad6aa896aeb811b53081712f42d54c026,avalanche
0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,https://app.blocksec.com/explorer/security-incidents,avalanche
0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,https://snowtrace.io/tx/0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,avalanche
0x4425f757715e23d392cda666bc0492d9e5d5848ff89851a1821eab5ed12bb867,https://x.com/MetaTrustAlert/status/1712358883329736975,avalanche
0x4425f757715e23d392cda666bc0492d9e5d5848ff89851a1821eab5ed12bb867,https://snowtrace.io/tx/0x4425f757715e23d392cda666bc0492d9e5d5848ff89851a1821eab5ed12bb867,avalanche
0x49c5b3b414bf874689de9a5b98c55445659c2fd2ad6f8a3cdd4e0203937c395e,https://app.blocksec.com/explorer/security-incidents,avalanche
0x4b544e5ffb0420977dacb589a6fb83e25347e0685275a3327ee202449b3bfac6,https://snowtrace.io/tx/0x4b544e5ffb0420977dacb589a6fb83e25347e0685275a3327ee202449b3bfac6,avalanche
0x4f37ffecdad598f53b8d5a2d9df98e3c00fbda4328585eb9947a412b5fe17ac5,https://snowtrace.io/tx/0x4f37ffecdad598f53b8d5a2d9df98e3c00fbda4328585eb9947a412b5fe17ac5,avalanche
0x547aea57ae199779afe1f04473cd9a33aba6330df2c80e4d9d033ad3fb4f6e8d,https://app.blocksec.com/explorer/security-incidents,avalanche
0x5e785b87e62252b1fff3283ce260d74cb5b3efc4588d7a0297f505482cbab388,https://x.com/BeosinAlert/status/1678943417974378496,avalanche
0x6a09d38505beeb29ed4dbb30de2803f30f3c62e2464c6a20ec17026c372c763e,https://x.com/MetaTrustAlert/status/1712358883329736975,avalanche
0x782b2410fcc9449ead554a81f78184b6f9cca89f07ea346bc50cf11887cd9b18,https://x.com/BeosinAlert/status/1602546343511064576,avalanche
0x96d90b23678b34e9ff324bdef7a18bf190289afff848a26882a1fe3110bf9714,https://app.blocksec.com/explorer/security-incidents,avalanche
0xab39a17cdc200c812ecbb05aead6e6f574712170eafbd73736b053b168555680,https://x.com/BeosinAlert/status/1601422462012469248,avalanche
0xab39a17cdc200c812ecbb05aead6e6f574712170eafbd73736b053b168555680,https://snowtrace.io/tx/0xab39a17cdc200c812ecbb05aead6e6f574712170eafbd73736b053b168555680,avalanche
0xab5f6242fb073af1bb3cd6e891bc93d247e748a69e599a3744ff070447acb20f,https://app.blocksec.com/explorer/security-incidents,avalanche
0xc6fb8217e45870a93c25e2098f54f6e3b24674a3083c30664867de474bf0212d,https://snowtrace.io/tx/0xc6fb8217e45870a93c25e2098f54f6e3b24674a3083c30664867de474bf0212d,avalanche
0xf2c810e0b56e974bf1eb7f6d26c02367479ff9cd23c47869cdd61252752e07bc,https://x.com/MetaTrustAlert/status/1678950105817448448,avalanche
0x018159bb9d694362b344036081f13c0977aabdf846dd3fd6026f47ca575340c4,https://app.blocksec.com/explorer/security-incidents,base
0x0a2957e7a2b45db525143d419137de854a741e7d2f61468b1dc3f83c9c27f9f7,https://app.blocksec.com/explorer/security-incidents,base
0x25c11d664f89ef9237ecf2e8ff1f067821cb829694b184c7ee74e6d0a3f9bfba,https://x.com/BeosinAlert/status/1691285787101569024,base
0x39555e75d76b294248a434fdfe9640e0cfe3f22bd7fceb675fd4ef4b5e02f719,https://x.com/BlockSecTeam/status/1694992017946820844,base
0x619c44af9fedb8f5feea2dcae1da94b6d7e5e0e7f4f4a99352b6c4f5e43a4661,https://app.blocksec.com/explorer/security-incidents,base
